"Order Number","Order Status","Order Date","City (Shipping)","Order Total Amount"
16218,Completed,"2025-12-07 05:59",Pretoria,898.00
16216,Processing,"2025-12-07 04:58",6001,348.00
16215,Completed,"2025-12-06 21:11",Bloemfontein,520.00
16214,Completed,"2025-12-06 20:49",Pretoria,450.00
16213,Completed,"2025-12-06 14:19",Giyani,348.00
16212,Completed,"2025-12-06 13:48",Thohoyandou,220.00
16210,Completed,"2025-12-06 05:34",Newcastle,348.00
16203,Completed,"2025-12-05 16:56",Giyani,220.00
16202,Completed,"2025-12-05 16:46",Springs,538.00
16167,Completed,"2025-12-05 07:24",eXobho,450.00
16164,Completed,"2025-12-05 06:49",Kimberley,787.00
16119,Completed,"2025-12-04 21:11","Cape town",658.00
16118,Processing,"2025-12-04 17:25",Nelspruit,500.00
16109,Completed,"2025-12-04 12:27",Babelegi,578.00
16108,Completed,"2025-12-04 11:08","Cape Town",348.00
16107,Completed,"2025-12-04 09:35",Milnerton,748.00
16104,Completed,"2025-12-04 08:40","New Germany",380.00
16099,Completed,"2025-12-04 05:11",Tzaneen,576.00
16096,Completed,"2025-12-03 23:14",Johannesburg,937.00
16094,Completed,"2025-12-03 19:28",Sandton,290.00
16092,Completed,"2025-12-03 13:46",Randburg,348.00
16091,Completed,"2025-12-03 10:42",LynnWood,558.00
16090,Completed,"2025-12-03 10:21","Cape Town",220.00
16089,Completed,"2025-12-03 09:36",JOHANNESBURG,610.00
16088,Completed,"2025-12-03 08:29",Pretoria,380.00
16075,Completed,"2025-12-02 08:04",Ceres,618.00
16072,Completed,"2025-12-01 17:40","Jeffreys bay",520.00
16070,Completed,"2025-12-01 08:14",Umlazi,348.00
16065,Processing,"2025-11-30 13:52",Johannesburg,348.00
16064,Completed,"2025-11-30 10:26","Fort Beaufort",220.00
16063,Completed,"2025-11-30 09:19",Rustenburg,348.00
16062,Completed,"2025-11-30 09:16","Cape Town",636.00
16059,Processing,"2025-11-30 07:39",Gqeberha,348.00
16058,Completed,"2025-11-30 07:13",Bethal,608.00
16052,Completed,"2025-11-29 14:19",Dysselsdorp,620.00
16051,Completed,"2025-11-29 12:22",Pretoria,1032.00
16050,Completed,"2025-11-29 10:09","Mpumalanga township Hammersdale",946.00
16049,Completed,"2025-11-29 08:16",Pretoria,508.00
16048,Completed,"2025-11-29 06:11",Vanderbijlpark,636.00
16045,Completed,"2025-11-29 05:00",Pretoria,290.00
16044,Completed,"2025-11-29 00:17",Benoni,576.00
16043,Completed,"2025-11-28 23:36",Polokwane,348.00
16042,Completed,"2025-11-28 23:34",Polokwane,348.00
16037,Completed,"2025-11-28 17:51","Pretoria North",348.00
16036,Completed,"2025-11-28 17:43",Thabazimbi,348.00
16035,Completed,"2025-11-28 13:46","Cape Town",348.00
16034,Completed,"2025-11-28 13:22","Cape Town",636.00
16033,Completed,"2025-11-28 08:32",Randfontein,996.00
16032,Completed,"2025-11-28 08:21","Umhlanga rocks",1174.00
16031,Completed,"2025-11-28 05:38",Johannesburg,380.00
16029,Completed,"2025-11-28 03:43","Port Elizabeth",418.00
16028,Completed,"2025-11-27 21:00","Ormonde view estates",348.00
16027,Completed,"2025-11-27 18:58","Orlando East, Soweto",956.00
16026,Completed,"2025-11-27 13:09",Witbank,1097.00
16025,Completed,"2025-11-27 09:40","Port Elizabeth",597.00
16023,Completed,"2025-11-27 03:15",Honeydew,380.00
16019,Completed,"2025-11-26 18:25",Reitz,348.00
16018,Completed,"2025-11-26 09:16",Centurion,648.00
16017,Completed,"2025-11-26 08:39","Cape Town",290.00
